Rank,Player,College,Games,Minitues Per Game,Rebounds Per Game,Assists Per Game,Steals Per Game,Blocks Per Game,Points Per Game,Year
1378,Trey Chapman,VMI,26,25.8,4.7,1.0,0.5,0.6,0.6,2016
1379,Joel Awich,POLY,28,21.8,4.2,0.8,0.3,1.0,1.0,2016
1380,Zachary Hamilton,PVAMU,31,25.8,3.9,0.8,0.7,0.4,0.4,2016
1381,Torlorf Thomas,ASU,31,26.9,2.5,1.9,0.7,0.1,0.1,2016
1382,Josh Kozinski,CMU,33,22.4,2.0,0.5,0.6,0.2,0.2,2016
1383,Shavar Newkirk,SJU,36,23.6,2.4,2.6,0.8,0.1,0.1,2016
1384,Eric Stuteville,CSUS,31,20.4,4.7,0.3,0.1,1.9,1.9,2016
1385,Chazz Patterson,SPC,30,31.8,4.6,1.7,1.4,0.4,0.4,2016
1386,Darien Walker,VAL,36,20.1,3.6,1.0,0.6,0.1,0.1,2016
1387,Derrick Gordon,SHU,34,23.6,3.3,1.6,1.0,0.2,0.2,2016
1388,Milik Yarbrough,SLU,28,19.9,4.7,1.5,0.4,0.2,0.2,2016
1389,Jarred Dixon,MSU,30,24.2,2.3,1.5,1.3,0.1,0.1,2016
1390,Malik Harmon,SFU,27,29.7,2.6,3.0,1.0,0.0,0.0,2016
1391,Julion Pearre,USU,31,23.1,1.7,1.5,0.6,0.2,0.2,2016
1392,Matt Rafferty,FU,35,24.0,6.7,1.8,1.0,0.9,0.9,2016
1393,Kyle Davis,DAY,33,26.0,3.5,2.1,1.2,0.2,0.2,2016
1394,Damian Young,MVSU,34,20.0,2.6,0.9,1.6,0.3,0.3,2016
1395,P.J. Boutte,CIT,31,25.4,4.2,5.7,1.6,0.0,0.0,2016
1396,Marquis Vance,ASU,30,29.4,5.4,1.9,0.4,0.6,0.6,2016
1397,Michael Green,NAU,29,24.3,2.3,1.9,0.8,0.0,0.0,2016
1398,RaShawn Stores,MAN,28,29.5,2.2,3.0,1.4,0.0,0.0,2016
1399,Antravious Simmons,FGC,34,16.5,5.2,0.7,0.4,0.4,0.4,2016
1400,Mike Thomas,UH,34,21.8,5.6,0.8,0.3,0.4,0.4,2016
1401,Rob Ukawuba,NJIT,33,21.3,3.3,1.7,0.6,0.2,0.2,2016
1402,"Galen Robinson, Jr.",U of H,32,24.3,2.4,3.4,1.0,0.1,0.1,2016
1403,Kodi Justice,ASU,32,24.8,2.2,2.4,0.9,0.2,0.2,2016
1404,Cody Joyce,UMBC,29,20.9,3.8,0.4,0.3,0.2,0.2,2016
