Rank,Player,College,Games,Minitues Per Game,Rebounds Per Game,Assists Per Game,Steals Per Game,Blocks Per Game,Points Per Game,Year
268,Travis Leslie,UGA,33,32.2,7.2,2.9,1.2,0.6,0.6,2011
269,Jonathan Mitchell,RU,32,30.3,5.6,0.9,0.8,0.6,0.6,2011
270,Evan Gordon,LIB,32,32.9,2.9,2.2,1.6,0.1,0.1,2011
271,Torrey Craig,USCU,30,30.5,7.2,1.5,1.0,0.4,0.4,2011
272,Geoff McCammon,L-IL,31,31.1,3.0,1.0,0.9,0.2,0.2,2011
273,Warren Niles,ORU,35,31.1,3.7,1.8,1.0,0.1,0.1,2011
274,Darryl Partin,BU,35,31.9,3.4,1.4,1.0,0.3,0.3,2011
275,Jer'Vaughn Johnson,CSUF,27,29.5,7.0,1.4,0.9,0.3,0.3,2011
276,Robert Nyakundi,SMU,35,30.6,4.3,1.9,1.0,0.2,0.2,2011
277,Omar Wattad,UTC,32,29.5,3.7,2.1,0.9,0.1,0.1,2011
278,Cleveland Melvin,DEP,27,26.2,5.0,0.7,1.0,1.5,1.5,2011
279,Cecil Gresham,BU,27,30.1,4.4,0.9,0.6,0.5,0.5,2011
280,Larry Anderson,LBSU,28,33.8,6.3,3.2,1.9,0.7,0.7,2011
281,Stephon Carter,CSUB,28,29.9,4.0,3.3,2.3,0.4,0.4,2011
282,Bradford Burgess,VCU,40,34.5,6.3,1.6,1.1,0.8,0.8,2011
283,Khris Middleton,TAMU,33,29.6,5.2,2.8,1.2,0.1,0.1,2011
284,Kris Joseph,SU,34,32.4,5.3,2.2,1.5,0.6,0.6,2011
285,Shay Shine,HP,31,30.5,4.2,2.7,1.3,0.2,0.2,2011
286,Jared Cunningham,OSU,30,29.2,3.1,2.1,2.8,0.2,0.2,2011
287,Phil Martin,UCR,30,31.6,5.0,1.3,0.6,0.3,0.3,2011
288,Cade Davis,OU,31,34.9,5.0,1.8,1.0,0.5,0.5,2011
289,Keith Gabriel,VMI,31,23.8,3.2,1.4,1.7,0.5,0.5,2011
290,Justin Graham,SJSU,32,36.3,4.5,4.4,2.3,0.4,0.4,2011
291,Olu Ashaolu,LTU,32,30.9,9.4,1.6,1.0,0.3,0.3,2011
292,Peter Sullivan,BU,23,29.5,5.6,2.1,0.7,0.1,0.1,2011
293,Zach Rosen,PENN,28,36.7,3.5,5.4,1.2,0.1,0.1,2011
294,Keith Clanton,UCF,33,30.5,7.7,1.6,1.0,1.8,1.8,2011
295,Harper Kamp,Cal,33,32.9,5.6,1.7,0.6,0.3,0.3,2011
296,Zach Graham,UM,34,30.5,4.5,1.5,0.8,0.5,0.5,2011
297,Jenirro Bush,JSU,31,27.3,3.5,1.0,1.4,0.1,0.1,2011
298,Chris Wroblewski,COR,26,32.7,3.4,5.7,1.5,0.1,0.1,2011
299,Kenny Boynton,UF,37,32.9,1.5,2.6,0.9,0.2,0.2,2011
300,Martino Brock,USA,27,31.6,3.8,2.3,1.7,0.3,0.3,2011
301,Ryan Pearson,GMU,34,30.3,6.7,1.2,0.9,0.6,0.6,2011
302,Joe Zeglinski,UHA,31,36.0,4.0,1.9,1.2,0.2,0.2,2011
303,Micah Williams,ETSU,35,34.5,4.1,1.3,0.9,0.2,0.2,2011
304,Donavan Bragg,CSUB,28,31.5,2.6,2.4,0.8,0.0,0.0,2011
305,Troy Barnies,UM,30,33.3,7.6,1.6,0.9,0.4,0.4,2011
306,Leon Powell,SEMO,32,31.5,7.7,1.0,0.6,1.5,1.5,2011
307,Dairese Gary,UNM,33,33.8,3.2,5.5,1.3,0.0,0.0,2011
308,Cory Johnson,VAL,34,26.3,4.4,1.5,0.5,0.5,0.5,2011
309,Marshall Moses,OSU,34,29.6,7.3,1.0,0.6,0.4,0.4,2011
310,Kwadzo Ahelegbe,UNI,34,31.4,3.2,3.0,0.6,0.1,0.1,2011
311,Will Cherry,UM,30,34.4,3.6,4.3,2.6,0.2,0.2,2011
312,John Roberson,TTU,30,35.3,2.0,4.4,1.1,0.2,0.2,2011
313,Jared Stohl,UP,32,32.6,2.4,1.8,0.8,0.0,0.0,2011
314,Derek Needham,FU,33,35.2,3.0,4.5,1.4,0.0,0.0,2011
315,Charles Odum,PSU,30,28.8,3.4,2.8,1.0,0.1,0.1,2011
316,James Washington,MTSU,32,35.0,2.3,2.8,1.6,0.0,0.0,2011
317,Greg Gantt,FAU,32,30.2,3.9,0.9,0.7,0.0,0.0,2011
318,Rob Hampton,NSU,32,31.0,3.7,1.9,1.1,0.2,0.2,2011
319,Akeem Bennett,SFC,29,32.8,5.8,2.8,2.6,0.6,0.6,2011
320,Cameron Moore,UAB,28,33.7,9.3,0.9,0.7,1.5,1.5,2011
321,Reeves Nelson,UCLA,34,31.4,9.0,1.6,0.4,0.4,0.4,2011
322,Steven Gray,GU,34,31.6,3.9,4.0,1.7,0.1,0.1,2011
323,Cameron Rundles,WC,34,33.1,3.8,2.5,1.1,0.1,0.1,2011
324,Tyrone Hanson,JSU,32,30.1,3.9,2.2,0.8,0.5,0.5,2011
325,Trevor Mbakwe,U of M,31,30.9,10.5,1.3,0.9,1.5,1.5,2011
326,Perry Jones,BU,30,33.9,7.2,1.2,0.5,0.9,0.9,2011
327,Tamir Jackson,RU,32,33.2,2.7,3.6,1.3,0.0,0.0,2011
328,Latif Rivers,WC,30,32.7,3.1,2.9,0.7,0.4,0.4,2011
329,Tim Hardaway Jr.,UM,35,30.7,3.8,1.7,1.0,0.1,0.1,2011
330,Kareem Maddox,PRIN,32,31.0,7.0,2.5,0.8,1.8,1.8,2011
331,Sterling Carter,SEA,31,26.8,3.3,1.9,0.9,0.5,0.5,2011
332,Rob Jones,SMC,34,31.4,7.7,1.7,1.1,0.5,0.5,2011
333,Rayvonte Rice,DU,31,30.1,4.8,1.6,1.4,0.8,0.8,2011
334,Demetrius Ward,WMY,34,32.0,4.3,2.5,1.1,0.1,0.1,2011
335,Maalik Wayns,VILL,33,30.1,2.8,4.5,1.2,0.0,0.0,2011
336,Ian Hummer,PRIN,32,30.2,6.8,1.9,1.1,1.1,1.1,2011
337,Fred Brown,ULM,29,32.6,2.1,2.7,1.4,0.1,0.1,2011
338,Jerrell Williams,LU,33,26.6,7.4,1.4,1.1,0.2,0.2,2011
339,N'Gai Evans,WRST,30,35.8,3.9,3.3,1.5,0.2,0.2,2011
340,Gerald McLemore,UM,29,33.0,2.2,1.3,1.0,0.2,0.2,2011
341,Ben Botts,IPFW,30,30.6,3.2,2.2,0.8,0.2,0.2,2011
342,Jordan Callahan,TU,30,34.3,2.6,4.1,1.4,0.1,0.1,2011
343,Vincent Council,PROV,32,36.2,4.3,5.9,1.7,0.4,0.4,2011
344,Scott Christopherson,ISU,31,35.8,3.1,2.5,0.7,0.0,0.0,2011
345,Michael Lyons,AF,31,30.5,3.5,1.9,1.0,0.4,0.4,2011
346,Novar Gadson,RU,33,28.0,5.8,1.7,0.8,0.9,0.9,2011
347,Juan Pattillo,WKU,32,29.8,9.1,1.4,1.5,1.8,1.8,2011
348,Deonte Burton,UNR,32,29.6,2.2,3.5,1.3,0.3,0.3,2011
349,Blake Hoffarber,U of M,31,35.1,3.5,4.1,1.0,0.1,0.1,2011
350,Drew Spradlin,ELON,31,26.1,4.1,1.3,0.5,0.2,0.2,2011
351,Isaiah Wilkerson,NJIT,30,27.9,6.1,1.2,0.7,0.2,0.2,2011
352,Casey Mitchell,WVU,30,23.5,2.8,1.1,0.7,0.2,0.2,2011
353,Markieff Morris,KU,38,24.4,8.3,1.4,0.8,1.1,1.1,2011
354,Jake Thomas,USD,31,32.8,4.9,2.4,0.9,0.3,0.3,2011
355,Durand Scott,UM,36,32.8,4.3,3.1,1.2,0.1,0.1,2011
356,Amin Stevens,FAMU,32,29.1,7.8,1.1,1.2,0.8,0.8,2011
357,Mark Lyons,XAV,32,35.1,3.1,3.1,0.9,0.3,0.3,2011
358,T.J. Robinson,LBSU,34,32.8,10.1,1.0,0.6,0.1,0.1,2011
359,Jonathan Moore,GWU,27,28.7,4.3,0.9,1.0,0.1,0.1,2011
360,Ray McCallum,UDM,33,33.3,4.7,4.8,1.6,0.2,0.2,2011
361,Nemanja Mitrovic,UP,32,30.5,3.3,1.6,0.8,0.1,0.1,2011
362,Chase Simon,UDM,32,31.8,4.2,1.6,1.2,0.2,0.2,2011
363,Khalid Mutakabbir,PC,31,38.9,3.2,2.3,1.0,0.2,0.2,2011
364,Mustapha Farrakhan,UVA,31,30.9,2.8,1.8,0.7,0.3,0.3,2011
365,Stephen Lumpkins,AU,31,30.0,8.3,0.5,0.5,1.3,1.3,2011
366,Trent Lockett,ASU,29,30.7,5.3,2.5,0.7,0.5,0.5,2011
367,Matt Dellavedova,SMC,34,35.3,3.6,5.3,1.2,0.0,0.0,2011
368,Aaron Mitchell,LONG,30,32.5,5.8,3.8,1.0,0.3,0.3,2011
369,Jeromie Hill,UTSA,34,30.5,6.6,1.0,0.8,0.5,0.5,2011
370,Augustus Gilchrist,USF,30,28.4,6.2,0.8,0.5,0.7,0.7,2011
371,Casey Walker,DESU,30,32.6,3.2,0.8,0.8,0.6,0.6,2011
372,Greer Wright,BU,25,30.6,4.2,3.5,1.1,0.3,0.3,2011
373,Allen Crabbe,Cal,31,33.8,5.3,2.0,0.9,0.5,0.5,2011
374,Jeff Allen,VT,34,32.3,9.7,1.8,1.3,0.7,0.7,2011
375,DeVaughn Washington,OU,34,29.5,5.6,0.9,1.1,0.4,0.4,2011
376,Spencer Perrin,EKU,30,30.0,5.5,2.1,0.9,0.9,0.9,2011
377,Brian Barbour,COM,28,35.1,2.1,3.2,1.5,0.0,0.0,2011
378,Alex Johnson,CSUB,28,31.0,2.7,2.4,1.1,0.0,0.0,2011
379,Glen Dean,EWU,23,32.9,2.7,4.2,0.9,0.0,0.0,2011
380,Robert Covington,TSU,30,30.8,7.5,1.2,1.5,1.0,1.0,2011
381,Nic Simpson,NC A&T,27,29.5,2.4,1.1,0.9,0.0,0.0,2011
382,Troy Huff,UND,34,26.3,4.6,1.1,1.2,0.3,0.3,2011
383,Jereal Scott,SFA,28,24.8,5.8,0.8,0.5,0.2,0.2,2011
384,Lamar Trice,MSMU,32,28.7,3.1,2.9,1.0,0.0,0.0,2011
385,Maurice McNeil,U of H,29,27.6,7.6,0.6,0.8,1.4,1.4,2011
386,Devon Saddler,UD,31,33.4,4.3,2.8,0.7,0.1,0.1,2011
387,Damen Bell-Holter,ORU,35,30.4,7.8,1.5,0.5,1.4,1.4,2011
388,Josh White,UNT,32,33.7,2.3,2.8,0.8,0.1,0.1,2011
389,Tre'Von Willis,UNLV,29,29.0,3.6,3.6,1.6,0.2,0.2,2011
390,Keiton Page,OSU,34,34.1,2.1,1.7,0.9,0.0,0.0,2011
391,Grant Maxey,JSU,31,21.5,5.4,1.2,1.2,0.5,0.5,2011
392,Trant Simpson,PVAMU,32,31.9,3.5,2.8,1.3,0.0,0.0,2011
393,Scott Machado,IC,37,34.2,3.9,7.6,1.4,0.2,0.2,2011
394,Lorne Jackson,PU,33,27.3,2.9,2.9,1.6,0.2,0.2,2011
395,Jack Eggleston,PENN,28,37.4,8.0,2.1,0.8,0.8,0.8,2011
